Code,Site,Year,Type,Dups,PCB,Flag,Concentration
MEBC1P,MEBC,1995,p,NA,PCB_52,TRUE,2
MEBC1P,MEBC,1995,p,NA,PCB_66_95,TRUE,2
MEBC1P,MEBC,1995,p,NA,PCB_77,TRUE,2
MEBC1P,MEBC,1995,p,NA,PCB_87,TRUE,2
MEBC1P,MEBC,1995,p,NA,PCB_101_90,TRUE,2
MEBC1P,MEBC,1995,p,NA,PCB_105,TRUE,2
MEBC1P,MEBC,1995,p,NA,PCB_118,TRUE,2
MEBC1P,MEBC,1995,p,NA,PCB_126,TRUE,2
MEBC1P,MEBC,1995,p,NA,PCB_128,TRUE,2
MEBC1P,MEBC,1995,p,NA,PCB_138,FALSE,2.1
MEBC1P,MEBC,1995,p,NA,PCB_153_132,FALSE,4.4
MEBC1P,MEBC,1995,p,NA,PCB_169,TRUE,2
MEBC1P,MEBC,1995,p,NA,PCB_170_190,TRUE,2
MEBC1P,MEBC,1995,p,NA,PCB_180,TRUE,2
MEBC1P,MEBC,1995,p,NA,PCB_187,TRUE,2
MEBC1P,MEBC,1995,p,NA,PCB_195_208,TRUE,2
MEBC1P,MEBC,1995,p,NA,PCB_206,TRUE,2
MEBC1P,MEBC,1995,p,NA,PCB_209,TRUE,2
MEBC1P,MEBC,1995,p,NA,Total,FALSE,9
MEBC2P,MEBC,1995,p,NA,PCB_8_5,TRUE,2
MEBC2P,MEBC,1995,p,NA,PCB_18_15,TRUE,2
MEBC2P,MEBC,1995,p,NA,PCB_28,TRUE,2
MEBC2P,MEBC,1995,p,NA,PCB_29,TRUE,2
MEBC2P,MEBC,1995,p,NA,PCB_44,TRUE,2
MEBC2P,MEBC,1995,p,NA,PCB_50,TRUE,2
MEBC2P,MEBC,1995,p,NA,PCB_52,TRUE,2
MEBC2P,MEBC,1995,p,NA,PCB_66_95,TRUE,2
MEBC2P,MEBC,1995,p,NA,PCB_77,TRUE,2
MEBC2P,MEBC,1995,p,NA,PCB_87,TRUE,2
MEBC2P,MEBC,1995,p,NA,PCB_101_90,TRUE,2
MEBC2P,MEBC,1995,p,NA,PCB_105,TRUE,2
MEBC2P,MEBC,1995,p,NA,PCB_118,TRUE,2
MEBC2P,MEBC,1995,p,NA,PCB_126,TRUE,2
MEBC2P,MEBC,1995,p,NA,PCB_128,TRUE,2
MEBC2P,MEBC,1995,p,NA,PCB_138,TRUE,2
MEBC2P,MEBC,1995,p,NA,PCB_153_132,TRUE,2
MEBC2P,MEBC,1995,p,NA,PCB_169,TRUE,2
MEBC2P,MEBC,1995,p,NA,PCB_170_190,TRUE,2
MEBC2P,MEBC,1995,p,NA,PCB_180,TRUE,2
MEBC2P,MEBC,1995,p,NA,PCB_187,TRUE,2
MEBC2P,MEBC,1995,p,NA,PCB_195_208,TRUE,2
MEBC2P,MEBC,1995,p,NA,PCB_206,TRUE,2
MEBC2P,MEBC,1995,p,NA,PCB_209,TRUE,2
MEBC2P,MEBC,1995,p,NA,Total,TRUE,NA
MEBC3P,MEBC,1995,p,NA,PCB_8_5,TRUE,2
MEBC3P,MEBC,1995,p,NA,PCB_18_15,TRUE,2
MEBC3P,MEBC,1995,p,NA,PCB_28,TRUE,2
MEBC3P,MEBC,1995,p,NA,PCB_29,FALSE,2.5
MEBC3P,MEBC,1995,p,NA,PCB_44,TRUE,2
MEBC3P,MEBC,1995,p,NA,PCB_50,TRUE,2
MEBC3P,MEBC,1995,p,NA,PCB_52,TRUE,2
MEBC3P,MEBC,1995,p,NA,PCB_66_95,TRUE,2
MEBC3P,MEBC,1995,p,NA,PCB_77,TRUE,2
MEBC3P,MEBC,1995,p,NA,PCB_87,TRUE,2
MEBC3P,MEBC,1995,p,NA,PCB_101_90,TRUE,2
MEBC3P,MEBC,1995,p,NA,PCB_105,TRUE,2
MEBC3P,MEBC,1995,p,NA,PCB_118,TRUE,2
MEBC3P,MEBC,1995,p,NA,PCB_126,TRUE,2
MEBC3P,MEBC,1995,p,NA,PCB_128,TRUE,2
MEBC3P,MEBC,1995,p,NA,PCB_138,TRUE,2
MEBC3P,MEBC,1995,p,NA,PCB_153_132,FALSE,3.9
MEBC3P,MEBC,1995,p,NA,PCB_169,TRUE,2
MEBC3P,MEBC,1995,p,NA,PCB_170_190,TRUE,2
MEBC3P,MEBC,1995,p,NA,PCB_180,TRUE,2
MEBC3P,MEBC,1995,p,NA,PCB_187,TRUE,2
MEBC3P,MEBC,1995,p,NA,PCB_195_208,TRUE,2
MEBC3P,MEBC,1995,p,NA,PCB_206,TRUE,2
MEBC3P,MEBC,1995,p,NA,PCB_209,TRUE,2
MEBC3P,MEBC,1995,p,NA,Total,FALSE,6.4
MEBC4P,MEBC,1995,p,NA,PCB_8_5,TRUE,2
MEBC4P,MEBC,1995,p,NA,PCB_18_15,TRUE,2
MEBC4P,MEBC,1995,p,NA,PCB_28,TRUE,2
MEBC4P,MEBC,1995,p,NA,PCB_29,TRUE,2
