8;5 	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2
18;15 	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2
66;95 	<2	<2	<2	<2	<2	<2	<2	<2	<2	3.9	3.1	3.3	3.5	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2
101;90 	5.7	5.6	6.1	6.5	22.9	22.2	22.4	23.8	22.9	8	8.7	9.3	7.2	2.1	2.4	2.9	2.1	4.4	4.3	3.8	4.6	12.6	11.3	11.6	16.4	1.6	2	1.8	2.1	1.9	8.3	8.6	6.6	6.6	5.9	4.7	6.1	4.6	7.2	5.9	6.6	4.7	8.3	6.1	8.3	6	6.6	5.9	6.1	6.7	5.5	<1.5	<1.5	<1.5	<1.5	2.5	2.2	2.9	2.6	28.8	31.9	30.1	31.8	4.4	4.5	5.1	4.1	3.9	2.8	1.2	2.2	2.6	2.1	<1.5	<1.5	<1.5	<1.5	3.8	3.7	2.5	3.9	3.1	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5
87	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	1.9	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	1.7	<1.5	1.5	<1.5	2	<1.5	2	<1.5	1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	11.8	13.3	12.1	13	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5
77	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2
118	8.1	7.8	8.8	9.4	28.7	28.1	28.4	29.8	28.1	10.7	11.3	12	8.4	3.1	3.3	3.9	3.1	5.5	6.6	6.1	7.4	13.6	11.4	12.1	18.8	2.3	2.2	2.6	2.8	2.8	8.3	9.1	8	7.4	6	4.8	6.3	4.8	7.2	6.7	6.5	5.2	7.8	6.5	7.8	5.7	6	5.3	6.4	6.7	5.7	<1	<1	<1	<1	2.6	2.6	2.5	3.3	32	34.7	33.7	36.1	3.9	3.1	4.4	3.7	3.4	2.8	2.1	3.2	3.2	2.8	<1	<1	<1	<1	2.4	2.4	1.9	2.6	2.3	1.3	1.2	1.3	1.5	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1	1	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1
153;132	12.4	13.1	12	14	45	46.6	53.1	44.7	42	19.8	20	21	16.3	6.2	6.4	6.8	6.5	9.9	10	11.6	11.6	20.4	15	19.6	28.6	3.6	3.6	4	4.1	3.7	17	18	17	16	12	9.9	12	9.6	12	12	12	10	13	11	14	11	11	12.9	14.1	15.1	13.9	<1.5	<1.5	<1.5	<1.5	7.8	6.2	8	6.2	38.6	40.6	41.2	42.8	9.9	11.3	12	8.9	8.6	7.1	5.2	6.5	6.5	6.6	<1.5	<1.5	<1.5	<1.5	8.9	9	8.3	9.3	9.5	3	3	3.2	3.7	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5
105	2.2	2.2	2.4	2.6	10.8	10.4	10.7	11.2	10.7	3	3.4	3.5	2.7	<1	<1	<1	<1	1.4	1.8	1.6	2	5.3	5.6	4.7	7.8	<1	<1	<1	<1	<1	1.8	2.3	1.7	1.7	1.4	1.1	1.5	1.1	1.9	1.7	1.8	1	1.8	1.6	2.1	1.3	1.3	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1	13	14.5	13.5	14.9	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1
138	10.7	10.5	11.5	12	38.6	38.6	38.5	41.1	24.7	15.1	16.9	17.1	12.6	4.5	4.5	5.7	4.8	10.2	8.9	8.4	10.1	19.9	16.8	19.1	26.4	3.3	3.8	3.4	4	3.6	13	14	13	13	10	8.4	9.8	8.2	11	10	10	8.1	12	9.6	12	9.1	9.4	12	12.9	14.1	12.5	<1.5	<1.5	<1.5	<1.5	4.8	4.2	5.3	5.5	47.9	51.7	52.6	53.6	8.2	6.8	7.4	7.5	7.4	5.4	3.6	5.5	5.5	4.8	<1.5	<1.5	<1.5	<1.5	3.5	3.6	5.6	3.8	6.4	2.5	2.4	2.5	3	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	1.6	1.7	1.7	1.7	1.6	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5
126	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5	<1.5
187	4	4.1	4.5	5.4	12.4	12.9	13.8	13.6	13.6	5.4	6.6	6.6	4.1	<1	<1	<1	<1	3.2	3.8	3.3	4.4	3.2	2.1	2.8	4.1	<1	<1	<1	<1	<1	5.7	5.7	5.4	5.5	4.3	3.5	3.9	3.3	3.6	3.6	3.9	3	4.2	3.5	4.4	3.4	3.7	1.9	2.6	2.7	2.1	<1	<1	<1	<1	2.1	2.8	2.6	2.3	<1	<1	<1	<1	4.4	4.1	5.2	4.5	4.4	2.6	1.2	2.6	2.5	1.9	<1	<1	<1	<1	3	3	1.9	3.2	2.7	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1
