1998 GULFWATCH METAL CONCENTRATIONS IN UG/G DRY WEIGHT													
													
Year	Station	Sample	 AG	 AL      	 CD      	 CR      	 CU     	 FE      	 HG      	 NI      	 PB      	 ZN      	SOLID    
	Massachusetts												
													
1998	Niger River	1N	0.1	320	0.69	0.96	4.2	400	0.21	1	0.66	65	18.4
1998	Niger River	2N	 K 0.1    	290	0.77	0.79	4.4	320	0.2	0.99	0.61	70	17.9
1998	Niger River	3N	 ND 0.1   	220	0.7	0.7	5.1	320	0.2	0.9	0.4	64	16.4
1998	Niger River	4N	 K 0.1    	310	0.78	0.83	4.6	390	0.27	0.95	0.65	62	15.4

1998	Chamcook	1N	 ND 0.1   	170	0.7	0.7	5.3	250	0.16	0.9	0.4	73	18.8
1998	Chamcook	2N	 ND 0.1   	180	0.8	0.7	5	260	0.19	0.97	 ND 0.4   	63	19.9
1998	Chamcook	2N	 K 0.1    	200	1.1	0.74	5.7	260	0.25	0.82	0.74	76	17.2
1998	Chamcook	4N	 ND 0.1   	150	0.91	0.61	4.6	210	0.26	0.8	0.6	59	17.5
													
Year	Station	Sample	 AG	 AL      	 CD      	 CR      	 CU     	 FE      	 HG      	 NI      	 PB      	 ZN      	SOLID    
	Nova Scotia												
													
1998	Cornvallis	1N	 ND 0.1   	410	3.1	1.8	7.1	590	0.55	2	3.2	110	8.9
1998	Cornvallis	2N	 ND 0.1   	340	2.2	1.5	4.3	460	0.39	1.5	3.5	65	9
1998	Cornvallis	3N	 ND 0.1   	360	2.9	1.8	5.8	490	0.45	1.9	3	73	9.6
1998	Cornvallis	4N	0.15	440	2.7	1.7	5.6	550	0.42	2.1	3.9	100	8.9

1998	Digby	1N	0.15	320	1.4	1.2	4.7	440	0.48	1.7	2.9	93	11.3
1998	Digby	2N	 ND 0.1   	380	1.8	1.7	6.7	530	0.5	1.7	2.7	100	11
1998	Digby	3N	 ND 0.1   	340	1.7	1.5	6.3	480	0.48	1.7	2.8	110	10.6
1998	Digby	4N	 ND 0.1   	310	1.5	1.3	3.6	460	0.37	1.4	2.4	72	11.2

1998	Broad Cove	1N	 ND 0.1   	200	1.7	1.4	6.8	340	0.35	1.3	1.5	83	10.9
1998	Broad Cove	2N	 ND 0.1   	200	1.7	1.4	6.5	340	0.35	1.2	1.8	77	10.7
1998	Broad Cove	3N	 ND 0.1   	140	1.7	1.2	6.9	260	0.4	1.1	1.7	93	11.5
