2000 GULFWATCH METAL CONCENTRATIONS IN UG/G DRY WEIGHT														

Year	Station	Sample	AG	AL	CD	CR	CU	FE	HG	NI	PB	ZN	SOLID	
 	Massachusetts					 								
														
2000	MEPR	1N	0.2	620	2	3.2	14	1000	0.4	2.4	8.4	83	11.1	
2000	MEPR	2N	0.2	510	2.6	3.3	14	950	0.9	3.2	8.3	130	8.2	
2000	MEPR	3N	0.1	600	2.1	3.2	14	1100	0.6	3.5	8.2	140	8.5	
2000	MEPR	4N	ND0.1	400	1.5	2.4	10	840	1	3.1	6.3	100	8.2	
														
Year	Station	Sample	AG	AL	CD	CR	CU	FE	HG	NI	PB	ZN	SOLID	
 	New Brunswick					 								
														
2000	NBLB	1N	ND0.1	160	1.7	0.9	6.9	360	0.2	2	1.8	100	16.6	
2000	NBLB	2N	ND0.1	140	1.6	1	6.6	350	0.2	1.9	1.8	91	16.6	
2000	NBLB	3N	ND0.1	180	1.4	0.9	5.8	400	0.2	1.8	1.7	91	16.4	
2000	NBLB	4N	ND0.1	150	1.3	0.8	5.3	360	0.1	1.5	1.7	64	19.7	
 														
2000	NBNR	1N	0.1	63	1	0.4	5	160	0.1	1.6	0.7	63	16.6	
2000	NBNR	2N	0.1	97	1.2	0.6	5.7	200	0.1	1.8	0.8	110	19	
2000	NBNR	3N	0.1	83	1	0.6	5.3	210	0.2	1.6	0.9	72	19.9	
2000	NBNR	4N	0.1	97	1.2	0.7	5.9	250	0.2	1.8	0.9	82	20	
 														
2000	NBHI	1N	0.1	37	1.1	0.5	5.5	110	0.1	1.5	ND0.6	63	22.1	
2000	NBHI	2N	0.1	26	0.9	0.4	5.1	88	0.1	1.5	ND0.6	60	22.6	
2000	NBHI	3N	0.1	38	1	0.5	5.9	110	0.1	1.6	ND0.6	60	21.4	
2000	NBHI	4N	0.1	34	0.9	0.4	4.8	90	0.1	1.4	0.6	60	22.8	
														
Year	Station	Sample	AG	AL	CD	CR	CU	FE	HG	NI	PB	ZN	SOLID	
 	Nova Scotia					 								
														
2000	NSAR	1N	ND .1	200	2.4	1.5	4.3	400	0.3	2.9	0.6	58	-	
2000	NSAR	2N	ND .1	250	3	1.6	5.5	500	0.4	3	0.8	54	11.2	
2000	NSAR	3N	ND .1	230	3	1.7	5.6	450	0.4	2.7	ND0.6	71	10.6	
2000	NSAR	4N	ND .1	300	2.5	1.8	5.3	570	0.4	2.8	0.7	64	10.4	
 														
2000	NSAR-depurated	1N	0.1	39	3.1	1.6	4.6	120	0.4	2.5	ND0.6	60	9.8	
2000	NSAR-depurated	2N	ND0.1	18	2.9	1.7	4.5	85	0.5	2.5	0.6	64	9.9	
2000	NSAR-depurated	3N	ND0.1	17	2.8	1.3	4.4	84	0.4	2.7	ND0.6	58	9.2	
2000	NSAR-depurated	4N	ND0.1	12	2.8	1.3	4.6	83	0.4	2.4	0.9	88	9.8	
 														
