 2000 Tissue Concentrations of Polyaromatic Hydrocarbons in Mytilus edulis (ng/g dry weight)																																																																																																		


 	MADX 1N	MADX 2N	MADX 3N	MADX 4N	MAOB 1N	MAOB 2N	MAOB 3N	MAOB 4N	MAWN 1N	MAWN 2N	MAWN 3N	MAWN 4N	MAIP 1N	MAIP 2N	MAIP 3N	MAIP 4N	MAIP 4N	MASN 1N	MASN 2N	MASN 3N	MASN 4N	NHHR 1N	NHHR 2N	NHHR 3N	NHHR 4N	NHRH 1N	NHRH 2N	NHRN 3N	NHRN 4N	NHNM 1N	NHNM 2N	NHNM 3N	NHNM 4N	NHSS 1N	NHSS 2N	NHSS 3N	NHSS 4N	NHDP 1N	NHDP 2N	NHDP 3N	NHDP 4N	MECC 1N	MECC 2N	MECC 3N	MECC 4N	MECC 4N	MEUR 1N	MEUR 2N	MEUR 3N	MEUR 4N	MEPH 1N	MEPH 2N	MEPH 3N	MEPH 4N	MECK 1N	MECK 2N	MECK 3N	MECK 4N	MEMR 1N	MEMR 2N	MEMR 3N	MEMR 4N	MEKN 1N	MEKN 2N	MEKN 3N	MEKN 4N	MEPR 1N	MEPR 2N	MEPR 2N	MEPR 3N	MEPR 4N	NBNR 1N	NBNR 2N	NBNR 3N	NBNR 4N	NBHI 1N	NBHI 2N	NBHI 3N	NBHI 4N	NBLB 1N	NBLB 2N	NBLB 3N	NBLB 4N	NBLB 4N	NSAR 1N	NSAR 2N	NSAR 3N	NSAR 4N	NSDI 1N	NSDI 2N	NSDI 2N	NSDI 3N	NSDI 4N	NSDI 4N	NSSC 1N	NSSC 2N	NSSC 3N	NSSC 4N
"2,3,5-TriMethylNaphthalene"	<3 	<3 	3	<3 	<3 	<3 	<3 	<3 	<3 	<3 	<3 	<3 	<3 	<3 	<3 	<3 	<3 	<3 	<3 	<3 	<3 	<3 	<3 	<3 	<3 	<3 	<3 	<3 	<3 	<3 	<3 	<3 	<3 	<3 	<3 	<3 	<3 	<3 	<3 	<3 	<3 	<3 	<3 	<3 	<3 	<3 	<3 	<3 	<3 	<3 	<3 	<3 	<3 	4	<3 	<3 	<3 	<3 	<3 	<3 	<3 	<3 	<3 	<3 	<3 	<3 	<3 	<3 	<3 	<3 	<3 	<3 	<3 	<3 	<3 	<3 	<3 	<3 	<3 	<3 	<3 	<3 	<3 	<3 	<3 	<3 	<3 	<3 	24	15	13	9	16	16	<3 	<3 	<3 	<3 
Fluorene	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	5	5	5	<4	5	4	<4	<4	<4	<4
Phenanthrene	17	16	18	11	14	10	11	12	15	14	17	17	7	7	6	6	6	11	14	15	14	21	7	8	7	5	7	6	6	13	14	16	21	11	11	8	9	5	5	5	5	8	7	7	6	6	3	2	<2	3	18	21	19	19	5	3	6	5	5	4	5	6	4	3	4	3	11	12	11	12	12	4	5	5	5	3	2	3	3	4	4	6	4	3	2	<2	<2	2	21	18	17	15	19	18	4	5	4	4
Anthracene	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2
1-MethylPhenanthrene	5	4	5	<4	4	<4	<4	4	4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	4	<4	<4	<4	<4	<4	<4	<4	<4	<4	4	6	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	10	8	9	10	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	11	9	9	9	9	9	<4	<4	<4	<4
Fluoranthene	38	32	35	20	45	39	41	39	37	33	42	39	17	18	16	16	17	19	24	25	24	59	15	14	15	13	15	15	17	88	87	90	130	39	48	43	66	32	33	32	30	34	31	32	25	26	12	10	8	13	200	193	178	189	8	5	7	8	13	10	12	11	13	14	15	15	59	58	57	58	61	6	8	9	7	3	3	4	4	5	6	7	6	5	3	3	3	2	27	24	22	25	27	25	6	7	6	7
Pyrene	27	22	25	13	37	33	36	34	39	32	41	36	19	17	15	14	14	12	13	14	13	46	12	12	12	10	14	13	14	87	83	89	129	36	44	39	51	34	36	35	32	32	29	31	25	27	11	10	8	11	173	159	154	158	6	4	6	6	10	7	9	9	17	17	20	17	44	45	44	42	43	3	4	4	4	<2	<2	<2	<2	3	4	4	4	3	<2	<2	<2	<2	10	10	9	12	11	11	3	4	4	4
Benzo(a)Anthracene	8	4	5	2	7	8	7	9	10	6	10	8	6	4	4	3	3	<2	2	2	2	21	3	3	2	3	4	4	5	27	26	28	35	10	14	13	15	12	13	14	12	10	8	10	7	7	2	2	2	3	44	37	38	36	<2	<2	2	<2	3	<2	2	2	4	5	6	4	9	10	9	8	8	3	3	2	2	<2	<2	<2	<2	<2	<2	2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2
Chrysene	15	12	12	7	18	18	15	17	19	13	19	16	10	9	8	6	6	4	6	6	6	21	6	6	6	7	9	9	11	67	64	64	92	18	24	23	23	22	23	22	20	18	18	19	14	14	5	5	5	6	107	91	87	98	3	3	4	4	5	4	4	4	8	9	10	9	21	23	22	19	20	4	4	4	4	<2	<2	<2	<2	2	3	4	3	3	<2	<2	<2	<2	5	5	4	5	5	5	2	2	<2	2
Benzo(b)Fluoranthene	8	<8	<8	<8	8	10	9	12	11	<8	12	11	8	<8	<8	<8	<8	<8	<8	<8	<8	16	<8	<8	14	<8	<8	<8	<8	66	60	64	78	14	18	17	16	20	22	25	20	16	13	16	13	14	<8	<8	<8	<8	61	52	55	52	<8	<8	<8	<8	<8	<8	<8	<8	<8	<8	<8	<8	10	11	11	9	9	<8	<8	<8	<8	<8	<8	<8	<8	<8	<8	<8	<8	<8	<8	<8	<8	<8	<8	<8	<8	<8	<8	<8	<8	<8	<8	<8
Benzo(k)Fluoranthene	9	7	7	3	8	11	9	11	12	8	13	11	8	5	5	4	4	2	3	3	3	17	4	5	3	5	6	6	7	50	46	51	63	13	17	17	15	19	20	23	21	15	14	14	11	11	3	3	3	3	60	46	49	49	2	2	3	3	4	2	3	3	5	5	6	4	11	11	12	9	10	4	5	4	4	<2	<2	<2	<2	2	3	4	3	3	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2
Benzo(e)Pyrene	12	10	11	6	17	16	17	17	16	13	17	16	11	10	8	7	8	4	6	5	6	15	6	6	5	6	7	7	8	70	65	66	93	20	25	23	23	25	27	27	24	22	19	21	17	18	5	5	5	5	86	76	73	78	<3 	<3 	<3 	<3 	6	4	5	5	9	9	11	9	16	16	16	14	15	<3 	<3 	<3 	<3 	<3 	<3 	<3 	<3 	<3 	<3 	<3 	<3 	<3 	<3 	<3 	<3 	<3 	4	4	3	4	4	4	<3 	<3 	<3 	<3 
Benzo(a)Pyrene	7	4	4	<3 	4	5	4	5	8	5	8	6	3	<3 	<3 	<3 	<3 	<3 	<3 	<3 	<3 	18	<3 	<3 	<3 	<3 	<3 	<3 	<3 	19	20	22	26	6	7	7	5	8	8	9	8	7	6	7	4	4	<3 	<3 	<3 	<3 	23	20	18	17	<3 	<3 	<3 	<3 	<3 	<3 	<3 	<3 	<3 	3	5	<3 	5	6	6	5	5	<3 	<3 	<3 	<3 	<3 	<3 	<3 	<3 	<3 	<3 	<3 	<3 	<3 	<3 	<3 	<3 	<3 	<3 	<3 	<3 	<3 	<3 	<3 	<3 	<3 	<3 	<3 
Perylene	4	<3 	3	<3 	<3 	<3 	<3 	<3 	<3 	<3 	<3 	<3 	4	3	<3 	<3 	<3 	<3 	<3 	3	<3 	8	3	3	3	<3 	3	4	4	18	18	20	25	8	9	9	9	11	12	13	12	8	7	9	7	7	3	<3 	3	3	14	12	12	12	<3 	<3 	<3 	<3 	10	8	10	11	7	7	8	7	8	9	9	7	8	<3 	<3 	<3 	<3 	<3 	<3 	<3 	<3 	<3 	<3 	<3 	<3 	<3 	<3 	<3 	<3 	<3 	<3 	<3 	<3 	<3 	<3 	<3 	<3 	<3 	<3 	<3 
"Indeno(1,2,3-cd)Pyrene"	6	4	6	<4 	<4 	<4 	<4 	4	6	5	7	6	5	<4 	<4 	<4 	<4 	<4 	<4 	<4 	<4 	13	<4 	<4 	<4 	6	5	<4 	<4 	21	20	21	27	5	6	8	6	9	9	9	8	7	6	9	8	8	<4 	<4 	<4 	<4 	20	17	17	16	<4 	<4 	<4 	<4 	<4 	<4 	<4 	<4 	4	4	5	4	7	5	5	6	5	<4 	<4 	<4 	<4 	<4 	<4 	<4 	<4 	<4 	<4 	<4 	<4 	<4 	<4 	<4 	<4 	<4 	<4 	<4 	<4 	<4 	<4 	<4 	<4 	<4 	<4 	<4 
"Dibenzo(a,h)Anthracene"	<4 	<4 	<4 	<4 	<4 	<4 	<4 	<4 	<4 	<4 	<4 	<4 	<4 	<4 	<4 	<4 	<4 	<4 	<4 	<4 	<4 	<4 	<4 	<4 	<4 	<4 	<4 	<4 	<4 	<4 	5	4	6	<4 	<4 	<4 	<4 	<4 	<4 	<4 	<4 	<4 	<4 	<4 	<4 	<4 	<4 	<4 	<4 	<4 	<4 	<4 	<4 	<4 	<4 	<4 	<4 	<4 	<4 	<4 	<4 	<4 	<4 	<4 	<4 	<4 	<4 	<4 	<4 	<4 	<4 	<4 	<4 	<4 	<4 	<4 	<4 	<4 	<4 	<4 	<4 	<4 	<4 	<4 	<4 	<4 	<4 	<4 	<4 	<4 	<4 	<4 	<4 	<4 	<4 	<4 	<4 	<4 
"Benzo(g,h,i)Perylene"	7	6	6	3	6	7	7	7	10	8	10	10	6	4	4	3	3	<2	2	2	2	12	3	4	4	5	5	5	5	27	27	32	38	10	11	11	9	11	13	12	12	10	9	11	9	9	2	2	2	2	25	22	21	22	<2	<2	<2	<2	3	<2	2	2	3	4	5	3	6	6	6	6	6	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	2	2	<2	<2	2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2	<2

Total	186	146	172	74	166	161	160	181	187	145	202	196	131	113	84	77	94	59	76	75	75	272	64	68	75	72	84	74	83	557	539	581	787	211	262	249	282	230	227	241	220	192	190	197	153	159	54	45	37	49	853	762	753	784	59	50	69	63	68	51	65	95	106	98	116	97	238	232	223	234	224	44	38	34	34	13	13	12	12	57	27	57	47	40	9	10	17	13	132	120	117	87	134	137	20	33	20	21

Surrogate Recovery																																																																																																		
Naphthalene_d8	45%	53%	61%	45%	49%	44%	66%	58%	35%	59%	55%	53%	72%	63%	62%	73%	63%	63%	64%	1%	56%	27%	54%	66%	78%	55%	55%	59%	67%	38%	64%	48%	53%	58%	60%	61%	63%	46%	40%	57%	60%	61%	82%	56%	42%	67%	40%	30%	21%	31%	31%	20%	51%	56%	55%	60%	51%	39%	44%	62%	55%	63%	54%	61%	58%	54%	55%	60%	49%	55%	53%	61%	54%	47%	48%	64%	62%	52%	55%	62%	25%	68%	74%	58%	32%	52%	66%	65%	43%	45%	60%	24%	63%	54%	44%	65%	62%	47%
Acenaphthene_d10	65%	73%	93%	65%	72%	67%	98%	86%	54%	83%	73%	81%	99%	89%	86%	94%	89%	85%	87%	80%	96%	54%	85%	87%	99%	76%	80%	89%	94%	75%	88%	75%	103%	75%	86%	87%	86%	73%	65%	80%	80%	88%	113%	84%	62%	86%	40%	32%	20%	43%	42%	27%	69%	67%	66%	68%	84%	71%	67%	75%	84%	77%	84%	85%	82%	84%	85%	80%	79%	81%	76%	91%	72%	82%	77%	91%	80%	79%	86%	81%	49%	102%	89%	69%	48%	68%	88%	81%	72%	83%	92%	42%	72%	65%	68%	68%	69%	52%
Phenanthrene_d10	89%	95%	98%	72%	92%	95%	107%	104%	92%	98%	94%	103%	115%	112%	109%	107%	115%	97%	103%	113%	102%	99%	114%	110%	113%	96%	95%	104%	107%	99%	98%	98%	134%	98%	108%	104%	106%	94%	93%	99%	101%	108%	129%	103%	95%	104%	70%	63%	30%	75%	85%	60%	82%	89%	90%	79%	95%	93%	84%	91%	93%	88%	95%	92%	93%	92%	92%	91%	91%	94%	93%	98%	94%	99%	96%	99%	98%	98%	104%	99%	95%	125%	103%	85%	88%	93%	107%	97%	106%	94%	96%	72%	89%	81%	82%	84%	89%	69%
Fluoranthene_d10	101%	104%	105%	76%	102%	106%	110%	111%	108%	108%	109%	111%	124%	119%	116%	115%	129%	105%	106%	118%	107%	116%	121%	116%	116%	106%	101%	111%	114%	108%	104%	105%	146%	107%	116%	111%	115%	105%	106%	106%	108%	115%	135%	109%	106%	109%	96%	87%	67%	97%	108%	92%	93%	104%	95%	88%	102%	102%	96%	101%	97%	101%	99%	100%	101%	101%	97%	98%	101%	103%	98%	104%	105%	110%	105%	106%	105%	111%	111%	104%	110%	136%	111%	104%	113%	108%	120%	105%	117%	103%	100%	92%	97%	87%	94%	96%	97%	90%
Chrysene_d12	101%	103%	103%	75%	102%	107%	109%	104%	106%	107%	110%	104%	112%	109%	108%	107%	123%	100%	102%	110%	104%	112%	113%	111%	115%	104%	102%	107%	110%	106%	101%	100%	136%	104%	110%	104%	109%	99%	103%	100%	101%	110%	128%	103%	104%	105%	106%	101%	95%	105%	108%	98%	92%	102%	100%	90%	98%	102%	97%	99%	97%	99%	98%	98%	98%	99%	94%	100%	101%	102%	98%	98%	103%	110%	106%	100%	101%	104%	100%	97%	108%	131%	104%	102%	111%	104%	112%	101%	111%	102%	94%	96%	95%	86%	97%	96%	101%	98%
Benzo_a_Pyrene_d12	101%	103%	101%	73%	99%	102%	105%	107%	110%	110%	110%	116%	126%	124%	118%	111%	130%	105%	105%	119%	111%	112%	114%	114%	116%	101%	99%	107%	111%	118%	109%	100%	149%	101%	107%	100%	104%	96%	97%	97%	95%	115%	134%	106%	105%	110%	102%	95%	92%	104%	107%	97%	90%	99%	97%	86%	91%	91%	91%	93%	91%	92%	92%	90%	90%	91%	90%	91%	94%	97%	93%	100%	105%	111%	104%	105%	92%	95%	95%	96%	113%	132%	99%	95%	112%	103%	100%	104%	111%	102%	89%	92%	92%	85%	92%	93%	99%	97%

IN = Interference																																																																																																		
