"2,6-Dimethylnaphthalene"	<4	<4	4.1	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	4.2	<4	<4	<4	<4	<4
Acenaphthylene	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4
Acenaphthene	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	4.6	<4	<4	<4	<4	<4
"2,3,5-Trimethylnaphthalene"	<3	<3	<3	<3	<3	<3	<3	<3	<3	<3	<3	<3	<3	<3	<3	<3	<3	<3	<3	<3	<3	<3	<3	<3	<3	<3	<3	3	<3	3.1	<3	<3	<3	<3	<3	<3	<3	<3	<3	<3	<3	<3	<3	<3	<3	<3	<3	<3	<3	<3	<3	<3	<3	<3	<3	<3	<3	<3	<3	<3	<3	<3	<3	<3	<3	<3	<3	<3	<3	<3	<3	<3	<3	<3	<3	<3	<3	<3	<3	<3	<3	<3	<3	<3	<3	<3	<3	<3	<3	4	<3	<3	<3	<3	<3	<3	<3	<3	<3	<3	<3	3.6	3.3	<3	<3	<3	<3	<3	<3	<3	<3
Fluorene	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	4.1	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	6.3	7.6	7.4	7.1	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	4.2	<4	<4	<4	6.1	<4	8.6	<4	<4	<4	<4	<4
Benzo(a)Pyrene	<3	<3	<3	<3	<3	<3	<3	<3	<3	<3	<3	<3	<3	<3	<3	<3	7.1	7	7.3	7.3	7.5	7.4	5.9	5.6	13.8	<3	<3	<3	<3	<3	13	12	13	17	16	18	16	15	9.9	9.6	10	8.6	8	16	9	9.9	11	6	6.7	11	7.5	51.8	46.9	58.3	60.6	<3	<3	<3	<3	<3	<3	<3	<3	<3	<3	<3	<3	<3	<3	5	3.7	3.3	<3	<3	<3	<3	<3	<3	<3	3.8	<3	5.5	<3	<3	<3	<3	<3	<3	<3	<3	<3	<3	<3	<3	<3	<3	<3	<3	<3	<3	<3	<3	<3	6.4	5.9	7.7	5.8	<3	<3	4.2	3.7
Perylene	<3	<3	<3	<3	<3	<3	<3	<3	<3	<3	<3	<3	<3	<3	<3	<3	<3	<3	<3	<3	<3	7.1	5.7	4.9	10.4	<3	<3	<3	<3	<3	17	19	19	23	11	13	10	11	11	9.8	12	9.1	8.4	11	10	11	11	11.2	8.6	9	8.3	40.4	42.7	49.3	46	<3	<3	<3	<3	14.5	7.7	12.6	12.3	11.1	<3	<3	<3	<3	8.4	8.2	9.3	7.4	10	7.9	10.7	9.4	8.6	<3	<3	4.5	<3	5.7	<3	<3	<3	<3	<3	<3	<3	<3	20.6	20.7	19.6	20.4	5.3	5.2	5.4	4.7	4.7	<3	<3	<3	<3	<3	<3	<3	<3	<3	<3	<3	<3
"Indeno(1,2,3,4-cd)Pyrene"	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	6.2	6.5	6.2	6.5	6.8	5.7	5.7	4.5	10.4	<4	<4	<4	<4	<4	13	16	17	19	27	27	21	23	9.6	11	11	9.9	8.2	16	11	12	13	6.9	6.8	10.5	8	39.2	39.4	50.5	48.6	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	4.7	<4	6.6	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4
"Dibenz(a,h)Anthracene"	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	8.4	6.8	11.8	11.5	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4	<4
Benzo(ghi)Perylene	<2	<2	<2	<2	2.2	2.3	3	3.4	<2	<2	<2	<2	<2	<2	<2	<2	10	10.8	10.9	10.6	10.7	10.3	8.8	8.2	17.2	<2	<2	2.7	2.8	2.4	14	15	16	17	22	23	20	20	11	12	12	10	9	15	11	12	13	7.9	8.7	10.9	8.8	46	45.5	54	51.2	<2	<2	<2	<2	3.6	2.3	3.1	2.9	2.5	<2	<2	<2	<2	3.7	<2	4.8	3.5	3.7	3	4.2	3.4	3.2	5.4	5.2	9	5.7	13.8	<2	<2	<2	<2	2.1	<2	<2	<2	<2	<2	<2	<2	2.2	2	2.3	2.1	2	<2	<2	<2	<2	3.6	3.5	3.5	3.2	<2	<2	<2	<2

Total	46	52	57	42	46	46	70	62	29	35	35	27	42	24	33	24	475	391	404	351	350	222	178	178	392	54	51	59	61	59	337	342	371	394	464	431	433	425	297	282	293	270	246	301	299	275	289	177	174	221	191	1410	1450	1631	1568	7	8	9	7	105	70	94	80	84	6	5	3	5	85	87	116	85	81	72	107	78	73	66	58	105	74	131	29	24	21	36	17	11	12	27	49	45	42	36	122	156	130	146	133	92	61	76	77	250	219	335	166	22	18	28	22

Surrogate Recovery																																																																																																															
Naphthalene-d8	71%	68%	68%	62%	67%	58%	70%	68%	64%	62%	63%	67%	62%	66%	69%	72%	64%	77%	73%	59%	59%	66%	64%	69%	70%	70%	61%	54%	47%	52%	63%	62%	59%	61%	69%	62%	60%	60%	59%	65%	64%	63%	46%	50%	69%	71%	70%	68%	65%	66%	59%	54%	60%	59%	61%	62%	62%	61%	65%	66%	54%	56%	60%	51%	60%	50%	58%	53%	57%	62%	58%	54%	56%	49%	64%	53%	55%	53%	45%	57%	58%	59%	54%	59%	57%	63%	70%	67%	59%	57%	53%	61%	65%	38%	56%	57%	59%	58%	3%	65%	52%	66%	60%	62%	52%	55%	41%	58%	59%	58%	57%
Acenaphthene-d10	86%	86%	88%	81%	81%	80%	82%	84%	76%	76%	78%	83%	86%	86%	88%	92%	85%	91%	91%	78%	77%	82%	81%	83%	82%	87%	80%	60%	60%	75%	77%	79%	81%	79%	81%	78%	74%	81%	74%	81%	75%	78%	67%	72%	83%	85%	83%	82%	80%	80%	78%	78%	81%	82%	79%	81%	79%	83%	84%	82%	78%	75%	78%	77%	81%	75%	82%	77%	82%	83%	83%	76%	80%	77%	80%	79%	79%	82%	73%	71%	80%	78%	78%	71%	70%	73%	83%	81%	77%	76%	79%	74%	83%	77%	70%	76%	75%	77%	54%	77%	61%	77%	72%	76%	75%	75%	63%	77%	72%	76%	66%
Phenanthrene-d10	94%	96%	92%	92%	91%	91%	92%	94%	85%	94%	92%	96%	95%	88%	95%	106%	93%	94%	95%	94%	91%	90%	90%	93%	90%	94%	92%	90%	90%	89%	87%	85%	92%	94%	87%	87%	83%	89%	87%	93%	88%	88%	82%	88%	91%	90%	92%	91%	86%	86%	91%	86%	88%	87%	86%	89%	89%	93%	92%	125%	94%	88%	93%	90%	91%	108%	107%	88%	93%	95%	93%	87%	95%	93%	90%	92%	95%	95%	86%	83%	92%	89%	91%	83%	85%	84%	92%	89%	86%	90%	97%	85%	96%	95%	82%	86%	88%	86%	84%	90%	78%	88%	85%	89%	92%	89%	75%	91%	87%	91%	79%
Fluoranthene-d10	102%	101%	101%	98%	99%	97%	100%	97%	92%	101%	98%	99%	98%	92%	98%	108%	98%	97%	100%	99%	94%	94%	94%	97%	98%	103%	105%	107%	106%	112%	95%	91%	99%	104%	95%	94%	92%	96%	102%	105%	106%	100%	94%	88%	99%	100%	104%	94%	95%	92%	94%	89%	92%	92%	90%	93%	93%	99%	98%	96%	93%	86%	91%	92%	95%	94%	99%	98%	95%	101%	98%	91%	95%	96%	94%	95%	96%	98%	90%	89%	96%	103%	96%	92%	94%	101%	107%	95%	95%	100%	105%	95%	98%	99%	91%	93%	97%	94%	96%	98%	88%	94%	93%	96%	97%	96%	83%	99%	100%	96%	85%
Chrysene-d12	97%	101%	94%	93%	97%	96%	100%	97%	90%	101%	93%	98%	97%	90%	94%	108%	100%	99%	101%	100%	95%	92%	91%	95%	90%	99%	98%	96%	97%	98%	94%	86%	93%	101%	90%	92%	86%	95%	96%	94%	96%	86%	91%	96%	93%	99%	96%	91%	89%	91%	93%	92%	95%	97%	91%	91%	91%	92%	95%	180%	103%	93%	104%	97%	94%	140%	139%	94%	102%	104%	95%	88%	100%	102%	94%	94%	103%	97%	90%	109%	95%	112%	116%	108%	112%	107%	96%	94%	91%	99%	119%	108%	107%	100%	103%	102%	107%	108%	111%	94%	87%	92%	92%	93%	95%	95%	82%	96%	97%	95%	81%
